Title,Handle,formato,precio_pvp_sugerido,species,stage,brand,subscribable,SKU,Categories
Bravery Salmon Adult Cat Sterilized,bravery-salmon-adult-cat-sterilized,2.05 kg,23990,gato,adulto,Bravery,FALSE,MANADA-00103,Alimento
Bravery Salmon Adult Cat Sterilized,bravery-salmon-adult-cat-sterilized,7.15 kg,60990,gato,adulto,Bravery,FALSE,MANADA-00104,Alimento
Bravery Salmon Adult Large/Medium Breed,bravery-salmon-adult-large-medium-breed,12.3 kg,72990,perro,adulto,Bravery,FALSE,MANADA-00105,Alimento
Bravery Salmon Adult Large/Medium Breed,bravery-salmon-adult-large-medium-breed,4.1 kg,28990,perro,adulto,Bravery,FALSE,MANADA-00106,Alimento
Bravery Salmon Kitten,bravery-salmon-kitten,2.05 kg,23990,gato,cachorro,Bravery,FALSE,MANADA-00107,Alimento
Bravery Salmon Mini Adult Small Breeds,bravery-salmon-mini-adult-small-breeds,2.05 kg,21990,perro,adulto,Bravery,FALSE,MANADA-00108,Alimento
Bravery Salmon Mini Adult Small Breeds,bravery-salmon-mini-adult-small-breeds,7.15 kg,52990,perro,adulto,Bravery,FALSE,MANADA-00109,Alimento
Bravery Salmon Mini Puppy Small Breeds,bravery-salmon-mini-puppy-small-breeds,2.05 kg,23990,perro,cachorro,Bravery,FALSE,MANADA-00110,Alimento
Bravery Salmon Mini Puppy Small Breeds,bravery-salmon-mini-puppy-small-breeds,7.15 kg,56990,perro,cachorro,Bravery,FALSE,MANADA-00111,Alimento
Bravery Salmon Puppy Large/Medium Breeds,bravery-salmon-puppy-large-medium-breeds,12.3 kg,79990,perro,cachorro,Bravery,FALSE,MANADA-00112,Alimento
Bravery Salmon Puppy Large/Medium Breeds,bravery-salmon-puppy-large-medium-breeds,4.1 kg,30990,perro,cachorro,Bravery,FALSE,MANADA-00113,Alimento
Bravery Tuna and Vegetables Adult Dog Wet Food,bravery-tuna-and-vegetables-adult-dog-wet-food,90 g,1990,perro,adulto,Bravery,FALSE,MANADA-00114,Alimento
Bravery Tuna and Vegetables Dog Wet Food,bravery-tuna-and-vegetables-dog-wet-food,300 g,3690,perro,adulto,Bravery,FALSE,MANADA-00115,Alimento
Bravery Tuna Loin and Carrots Sterilized Cat Wet Food,bravery-tuna-loin-and-carrots-sterilized-cat-wet-food,75 g,2790,gato,adulto,Bravery,FALSE,MANADA-00116,Alimento
Bravery Tuna Loin and Peas Adult Cat Wet Food,bravery-tuna-loin-and-peas-adult-cat-wet-food,75 g,2790,gato,adulto,Bravery,FALSE,MANADA-00117,Alimento
