Title,Handle,formato,precio_pvp_sugerido,species,stage,brand,subscribable,SKU,Categories
High Prairie Bisonte y Venado,taste-of-the-wild-high-prairie-bisonte-y-venado,12 kg,71990,perro,adulto,Taste of the Wild,FALSE,MANADA-00586,Alimento
High Prairie Bisonte y Venado,taste-of-the-wild-high-prairie-bisonte-y-venado,5.6 kg,41990,perro,adulto,Taste of the Wild,FALSE,MANADA-00587,Alimento
High Prairie Bisonte y Venado,taste-of-the-wild-high-prairie-bisonte-y-venado,2 kg,21990,perro,adulto,Taste of the Wild,FALSE,MANADA-00588,Alimento
Wetlands Pato,taste-of-the-wild-wetlands-pato,12 kg,71990,perro,adulto,Taste of the Wild,FALSE,MANADA-00589,Alimento
Wetlands Pato,taste-of-the-wild-wetlands-pato,5.6 kg,41990,perro,adulto,Taste of the Wild,FALSE,MANADA-00590,Alimento
Wetlands Pato,taste-of-the-wild-wetlands-pato,2 kg,21990,perro,adulto,Taste of the Wild,FALSE,MANADA-00591,Alimento
Appalachian Valley Venado Small Breed,taste-of-the-wild-appalachian-valley-venado-small-breed,12 kg,71990,perro,adulto,Taste of the Wild,FALSE,MANADA-00592,Alimento
Appalachian Valley Venado Small Breed,taste-of-the-wild-appalachian-valley-venado-small-breed,5.6 kg,41990,perro,adulto,Taste of the Wild,FALSE,MANADA-00593,Alimento
Appalachian Valley Venado Small Breed,taste-of-the-wild-appalachian-valley-venado-small-breed,2 kg,20990,perro,adulto,Taste of the Wild,FALSE,MANADA-00594,Alimento
Sierra Mountain Cordero,taste-of-the-wild-sierra-mountain-cordero,12 kg,71990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00595,Alimento
Sierra Mountain Cordero,taste-of-the-wild-sierra-mountain-cordero,5.6 kg,44990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00596,Alimento
Sierra Mountain Cordero,taste-of-the-wild-sierra-mountain-cordero,2 kg,20990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00597,Alimento
Southwest Canyon Jabalí,taste-of-the-wild-southwest-canyon-jabali,12 kg,71990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00598,Alimento
Southwest Canyon Jabalí,taste-of-the-wild-southwest-canyon-jabali,5.6 kg,44990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00599,Alimento
Southwest Canyon Jabalí,taste-of-the-wild-southwest-canyon-jabali,2 kg,20990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00600,Alimento
Pine Forest Venado,taste-of-the-wild-pine-forest-venado,12 kg,71990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00601,Alimento
Pine Forest Venado,taste-of-the-wild-pine-forest-venado,5.6 kg,44990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00602,Alimento
Pine Forest Venado,taste-of-the-wild-pine-forest-venado,2 kg,20990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00603,Alimento
Canyon River Trucha,taste-of-the-wild-canyon-river-trucha,6.6 kg,54990,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00604,Alimento
Canyon River Trucha,taste-of-the-wild-canyon-river-trucha,2 kg,20990,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00605,Alimento
Rocky Mountain Venado,taste-of-the-wild-rocky-mountain-venado,6.6 kg,54990,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00606,Alimento
Rocky Mountain Venado,taste-of-the-wild-rocky-mountain-venado,2 kg,20990,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00607,Alimento
Lowland Creek Pato,taste-of-the-wild-lowland-creek-pato,6.6 kg,54990,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00608,Alimento
Lowland Creek Pato,taste-of-the-wild-lowland-creek-pato,2 kg,20990,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00609,Alimento
Prey Angus,taste-of-the-wild-prey-angus-gato,6.8 kg,56500,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00610,Alimento
Prey Angus,taste-of-the-wild-prey-angus-gato,2.7 kg,30200,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00611,Alimento
Prey Turkey,taste-of-the-wild-prey-turkey-gato,6.8 kg,56500,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00612,Alimento
Prey Turkey,taste-of-the-wild-prey-turkey-gato,2.7 kg,30200,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00613,Alimento
Prey Angus,taste-of-the-wild-prey-angus-perro,11.36 kg,81600,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00614,Alimento
Prey Angus,taste-of-the-wild-prey-angus-perro,3.6 kg,31700,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00615,Alimento
Prey Turkey,taste-of-the-wild-prey-turkey-perro,11.36 kg,81600,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00616,Alimento
Prey Turkey,taste-of-the-wild-prey-turkey-perro,3.6 kg,31700,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00617,Alimento
Prey Trout,taste-of-the-wild-prey-trout,11.36 kg,81600,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00618,Alimento
Prey Trout,taste-of-the-wild-prey-trout,3.6 kg,31700,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00619,Alimento
Ancient Stream Salmón Ahumado,taste-of-the-wild-ancient-stream-salmon-ahumado,12.7 kg,71990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00620,Alimento
Ancient Stream Salmón Ahumado,taste-of-the-wild-ancient-stream-salmon-ahumado,6.6 kg,44990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00621,Alimento
Ancient Stream Salmón Ahumado,taste-of-the-wild-ancient-stream-salmon-ahumado,2.2 kg,22990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00622,Alimento
Ancient Wetlands Pato Asado,taste-of-the-wild-ancient-wetlands-pato-asado,12.7 kg,71990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00623,Alimento
Ancient Wetlands Pato Asado,taste-of-the-wild-ancient-wetlands-pato-asado,6.6 kg,44990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00624,Alimento
Ancient Wetlands Pato Asado,taste-of-the-wild-ancient-wetlands-pato-asado,2.2 kg,22990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00625,Alimento
Ancient Prairie Bisonte y Venado,taste-of-the-wild-ancient-prairie-bisonte-y-venado,12.7 kg,71990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00626,Alimento
Ancient Prairie Bisonte y Venado,taste-of-the-wild-ancient-prairie-bisonte-y-venado,6.6 kg,44990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00627,Alimento
Ancient Prairie Bisonte y Venado,taste-of-the-wild-ancient-prairie-bisonte-y-venado,2.2 kg,22990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00628,Alimento
Pouch Adult Cat Turkey Paté,taste-of-the-wild-pouch-adult-cat-turkey-pate,85 g,2990,gato,adulto,Taste of the Wild,FALSE,MANADA-00629,Alimento
Pouch Adult Cat Salmon Paté,taste-of-the-wild-pouch-adult-cat-salmon-pate,85 g,2990,gato,adulto,Taste of the Wild,FALSE,MANADA-00630,Alimento
Pouch Canyon River,taste-of-the-wild-pouch-canyon-river,85 g,2990,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00631,Alimento
Pouch Sterilized Paté,taste-of-the-wild-pouch-sterilized-pate,85 g,2990,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00632,Alimento
Pouch Lowland Creek,taste-of-the-wild-pouch-lowland-creek,85 g,2990,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00633,Alimento
Pouch Rocky Mountain,taste-of-the-wild-pouch-rocky-mountain,85 g,2990,gato,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00634,Alimento
Pouch Kitten Paté,taste-of-the-wild-pouch-kitten-pate,85 g,2990,gato,cachorro,Taste of the Wild,FALSE,MANADA-00635,Alimento
Pouch Senior Cat Paté,taste-of-the-wild-pouch-senior-cat-pate,85 g,2990,gato,senior,Taste of the Wild,FALSE,MANADA-00636,Alimento
Stew Pacific Stream Salmon,taste-of-the-wild-stew-pacific-stream-salmon,390 g,3990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00637,Alimento
Sierra Mountain Cordero,taste-of-the-wild-sierra-mountain-cordero,390 g,3990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00638,Alimento
Southwest Canyon Jabalí,taste-of-the-wild-southwest-canyon-jabali,390 g,3990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00639,Alimento
Wetlands Pato,taste-of-the-wild-wetlands-pato,390 g,3990,perro,"cachorro,adulto",Taste of the Wild,FALSE,MANADA-00640,Alimento
Maxine Gato Adulto,maxine-gato-adulto,3 kg,15500,gato,adulto,Maxine,FALSE,MANADA-00641,Alimento
Maxine Gato Adulto,maxine-gato-adulto,7.5 kg,27000,gato,adulto,Maxine,FALSE,MANADA-00642,Alimento
Maxine Gato Adulto Castrado,maxine-gato-adulto-castrado,3 kg,16400,gato,adulto,Maxine,FALSE,MANADA-00643,Alimento
Maxine Gato Adulto Castrado,maxine-gato-adulto-castrado,7.5 kg,28550,gato,adulto,Maxine,FALSE,MANADA-00644,Alimento
Maxine Perro Adulto,maxine-perro-adulto,21 kg,52900,perro,adulto,Maxine,FALSE,MANADA-00645,Alimento
Maxine Perro Adulto Razas Pequeñas,maxine-perro-adulto-razas-pequenas,3 kg,15200,perro,adulto,Maxine,FALSE,MANADA-00646,Alimento
Maxine Perro Adulto Razas Pequeñas,maxine-perro-adulto-razas-pequenas,7.5 kg,26400,perro,adulto,Maxine,FALSE,MANADA-00647,Alimento
Maxine Perro Cachorro,maxine-perro-cachorro,21 kg,53900,perro,cachorro,Maxine,FALSE,MANADA-00648,Alimento
Maxine Perro Senior,maxine-perro-senior,21 kg,52900,perro,senior,Maxine,FALSE,MANADA-00649,Alimento
Meat Paste Chicken Meat,naturalistic-meat-paste-chicken-meat,90 g,1990,perro,adulto,Naturalistic,FALSE,MANADA-00650,Alimento
Meat Paste Duck Meat,naturalistic-meat-paste-duck-meat,90 g,1990,perro,adulto,Naturalistic,FALSE,MANADA-00651,Alimento
Meat Paste Salmon & Atun Meat,naturalistic-meat-paste-salmon-y-atun-meat,90 g,1990,perro,adulto,Naturalistic,FALSE,MANADA-00652,Alimento
Nutra Nuggets Mantencion Gato Senior,nutra-nuggets-mantencion-gato-senior,7.5 kg,34250,gato,senior,Nutra Nuggets,FALSE,MANADA-00653,Alimento
Nutra Nuggets Mantencion Perro,nutra-nuggets-mantencion-perro,15 kg,51000,perro,adulto,Nutra Nuggets,FALSE,MANADA-00654,Alimento
Nutra Nuggets Performance Perro,nutra-nuggets-performance-perro,15 kg,57500,perro,adulto,Nutra Nuggets,FALSE,MANADA-00655,Alimento
Nutra Nuggets Cachorro Small Medium Breed,nutra-nuggets-cachorro-small-medium-breed,15 kg,58800,perro,cachorro,Nutra Nuggets,FALSE,MANADA-00656,Alimento
Nutra Nuggets Lite Senior,nutra-nuggets-lite-senior,15 kg,57500,perro,senior,Nutra Nuggets,FALSE,MANADA-00657,Alimento
Acana Classic Prairie Poultry,acana-classic-prairie-poultry,2 kg,17990,perro,"cachorro,adulto,senior",Acana,FALSE,MANADA-00658,Alimento
Acana Classic Prairie Poultry,acana-classic-prairie-poultry,9.7 kg,54990,perro,"cachorro,adulto,senior",Acana,FALSE,MANADA-00659,Alimento
Acana Classic Wild Coast,acana-classic-wild-coast,2 kg,18990,perro,"cachorro,adulto,senior",Acana,FALSE,MANADA-00660,Alimento
Acana Classic Wild Coast,acana-classic-wild-coast,9.7 kg,58990,perro,"cachorro,adulto,senior",Acana,FALSE,MANADA-00661,Alimento
Acana Puppy & Junior,acana-puppy-y-junior,2 kg,21990,perro,cachorro,Acana,FALSE,MANADA-00662,Alimento
Acana Puppy & Junior,acana-puppy-y-junior,11.3 kg,74990,perro,cachorro,Acana,FALSE,MANADA-00663,Alimento
Acana Free Run Poultry,acana-free-run-poultry,2 kg,22390,perro,adulto,Acana,FALSE,MANADA-00664,Alimento
Acana Free Run Poultry,acana-free-run-poultry,6 kg,52990,perro,adulto,Acana,FALSE,MANADA-00665,Alimento
Acana Free Run Poultry,acana-free-run-poultry,11.3 kg,74990,perro,adulto,Acana,FALSE,MANADA-00666,Alimento
Acana Freshwater Fish,acana-freshwater-fish,2 kg,22690,perro,adulto,Acana,FALSE,MANADA-00667,Alimento
Acana Freshwater Fish,acana-freshwater-fish,6 kg,54990,perro,adulto,Acana,FALSE,MANADA-00668,Alimento
Acana Freshwater Fish,acana-freshwater-fish,11.3 kg,76990,perro,adulto,Acana,FALSE,MANADA-00669,Alimento
Acana Light & Fit,acana-light-y-fit,2 kg,22990,perro,adulto,Acana,FALSE,MANADA-00670,Alimento
Acana Light & Fit,acana-light-y-fit,6 kg,54990,perro,adulto,Acana,FALSE,MANADA-00671,Alimento
Acana Light & Fit,acana-light-y-fit,11.3 kg,74990,perro,adulto,Acana,FALSE,MANADA-00672,Alimento
Acana Senior,acana-senior,2 kg,22990,perro,senior,Acana,FALSE,MANADA-00673,Alimento
Acana Senior,acana-senior,11.3 kg,74990,perro,senior,Acana,FALSE,MANADA-00674,Alimento
Acana Pork & Squash,acana-pork-y-squash,2 kg,26990,perro,adulto,Acana,FALSE,MANADA-00675,Alimento
Acana Pork & Squash,acana-pork-y-squash,10.2 kg,89990,perro,adulto,Acana,FALSE,MANADA-00676,Alimento
Acana Duck & Pear,acana-duck-y-pear,2 kg,27990,perro,adulto,Acana,FALSE,MANADA-00677,Alimento
Acana Duck & Pear,acana-duck-y-pear,10.2 kg,95990,perro,adulto,Acana,FALSE,MANADA-00678,Alimento
Acana Lamb & Apple,acana-lamb-y-apple,2 kg,28990,perro,adulto,Acana,FALSE,MANADA-00679,Alimento
Acana Lamb & Apple,acana-lamb-y-apple,10.2 kg,99990,perro,adulto,Acana,FALSE,MANADA-00680,Alimento
Acana First Feast,acana-first-feast,1.8 kg,23990,gato,cachorro,Acana,FALSE,MANADA-00681,Alimento
Acana First Feast,acana-first-feast,4.5 kg,46990,gato,cachorro,Acana,FALSE,MANADA-00682,Alimento
Acana Indoor Entrée,acana-indoor-entree,1.8 kg,24990,gato,adulto,Acana,FALSE,MANADA-00683,Alimento
Acana Indoor Entrée,acana-indoor-entree,4.5 kg,46990,gato,adulto,Acana,FALSE,MANADA-00684,Alimento
Acana Bountiful Catch,acana-bountiful-catch,1.8 kg,24990,gato,adulto,Acana,FALSE,MANADA-00685,Alimento
Acana Bountiful Catch,acana-bountiful-catch,4.5 kg,46990,gato,adulto,Acana,FALSE,MANADA-00686,Alimento
Acana Meadowland,acana-meadowland,1.8 kg,25990,gato,adulto,Acana,FALSE,MANADA-00687,Alimento
Acana Meadowland,acana-meadowland,4.5 kg,51990,gato,adulto,Acana,FALSE,MANADA-00688,Alimento
Acana Wild Atlantic,acana-wild-atlantic,1.8 kg,25990,gato,adulto,Acana,FALSE,MANADA-00689,Alimento
Acana Wild Atlantic,acana-wild-atlantic,4.5 kg,51990,gato,adulto,Acana,FALSE,MANADA-00690,Alimento
Acana Indoor Senior Entrée,acana-indoor-senior-entree,1.8 kg,23990,gato,senior,Acana,FALSE,MANADA-00691,Alimento
Acana Indoor Senior Entrée,acana-indoor-senior-entree,4.5 kg,46990,gato,senior,Acana,FALSE,MANADA-00692,Alimento
Orijen Puppy,orijen-puppy,2 kg,32990,perro,cachorro,Orijen,FALSE,MANADA-00693,Alimento
Orijen Puppy,orijen-puppy,6 kg,69990,perro,cachorro,Orijen,FALSE,MANADA-00694,Alimento
Orijen Puppy,orijen-puppy,10.6 kg,99990,perro,cachorro,Orijen,FALSE,MANADA-00695,Alimento
Orijen Puppy Large,orijen-puppy-large,2 kg,33990,perro,cachorro,Orijen,FALSE,MANADA-00696,Alimento
Orijen Puppy Large,orijen-puppy-large,6 kg,72990,perro,cachorro,Orijen,FALSE,MANADA-00697,Alimento
Orijen Puppy Large,orijen-puppy-large,10.6 kg,104990,perro,cachorro,Orijen,FALSE,MANADA-00698,Alimento
Orijen Original,orijen-original,2 kg,31990,perro,"cachorro,adulto,senior",Orijen,FALSE,MANADA-00699,Alimento
Orijen Original,orijen-original,6 kg,69990,perro,"cachorro,adulto,senior",Orijen,FALSE,MANADA-00700,Alimento
Orijen Original,orijen-original,10.6 kg,99990,perro,"cachorro,adulto,senior",Orijen,FALSE,MANADA-00701,Alimento
Orijen Six Fish,orijen-six-fish,2 kg,33990,perro,adulto,Orijen,FALSE,MANADA-00702,Alimento
Orijen Six Fish,orijen-six-fish,6 kg,74990,perro,adulto,Orijen,FALSE,MANADA-00703,Alimento
Orijen Six Fish,orijen-six-fish,10.6 kg,104990,perro,adulto,Orijen,FALSE,MANADA-00704,Alimento
Orijen Regional Red,orijen-regional-red,2 kg,34990,perro,adulto,Orijen,FALSE,MANADA-00705,Alimento
Orijen Regional Red,orijen-regional-red,6 kg,77990,perro,adulto,Orijen,FALSE,MANADA-00706,Alimento
Orijen Regional Red,orijen-regional-red,10.6 kg,109990,perro,adulto,Orijen,FALSE,MANADA-00707,Alimento
Orijen Senior,orijen-senior,2 kg,32990,perro,senior,Orijen,FALSE,MANADA-00708,Alimento
Orijen Senior,orijen-senior,6 kg,71990,perro,senior,Orijen,FALSE,MANADA-00709,Alimento
Orijen Senior,orijen-senior,10.6 kg,102990,perro,senior,Orijen,FALSE,MANADA-00710,Alimento
Orijen Fit & Trim,orijen-fit-y-trim,2 kg,32990,perro,adulto,Orijen,FALSE,MANADA-00711,Alimento
Orijen Fit & Trim,orijen-fit-y-trim,6 kg,71990,perro,adulto,Orijen,FALSE,MANADA-00712,Alimento
Orijen Fit & Trim,orijen-fit-y-trim,10.6 kg,102990,perro,adulto,Orijen,FALSE,MANADA-00713,Alimento
Orijen Small Breed,orijen-small-breed,1.8 kg,30990,perro,adulto,Orijen,FALSE,MANADA-00714,Alimento
Orijen Small Breed,orijen-small-breed,4.5 kg,63990,perro,adulto,Orijen,FALSE,MANADA-00715,Alimento
Orijen Amazing Grains Original,orijen-amazing-grains-original,1.8 kg,30990,perro,adulto,Orijen,FALSE,MANADA-00716,Alimento
Orijen Amazing Grains Original,orijen-amazing-grains-original,10.6 kg,99990,perro,adulto,Orijen,FALSE,MANADA-00717,Alimento
Orijen Amazing Grains Regional Red,orijen-amazing-grains-regional-red,1.8 kg,33990,perro,adulto,Orijen,FALSE,MANADA-00718,Alimento
Orijen Amazing Grains Regional Red,orijen-amazing-grains-regional-red,10.6 kg,109990,perro,adulto,Orijen,FALSE,MANADA-00719,Alimento
Orijen Kitten,orijen-kitten,1.8 kg,39990,gato,cachorro,Orijen,FALSE,MANADA-00720,Alimento
Orijen Kitten,orijen-kitten,5.4 kg,99990,gato,cachorro,Orijen,FALSE,MANADA-00721,Alimento
Orijen Original Cat,orijen-original-cat,1.8 kg,39990,gato,adulto,Orijen,FALSE,MANADA-00722,Alimento
Orijen Original Cat,orijen-original-cat,5.4 kg,99990,gato,adulto,Orijen,FALSE,MANADA-00723,Alimento
Orijen Guardian 8,orijen-guardian-8,1.8 kg,40990,gato,adulto,Orijen,FALSE,MANADA-00724,Alimento
Orijen Guardian 8,orijen-guardian-8,5.4 kg,102990,gato,adulto,Orijen,FALSE,MANADA-00725,Alimento
Orijen Six Fish Cat,orijen-six-fish-cat,1.8 kg,41990,gato,adulto,Orijen,FALSE,MANADA-00726,Alimento
Orijen Six Fish Cat,orijen-six-fish-cat,5.4 kg,104990,gato,adulto,Orijen,FALSE,MANADA-00727,Alimento
Orijen Regional Red Cat,orijen-regional-red-cat,1.8 kg,42990,gato,adulto,Orijen,FALSE,MANADA-00728,Alimento
Orijen Regional Red Cat,orijen-regional-red-cat,5.4 kg,109990,gato,adulto,Orijen,FALSE,MANADA-00729,Alimento
Orijen Fit & Trim Cat,orijen-fit-y-trim-cat,1.8 kg,40990,gato,adulto,Orijen,FALSE,MANADA-00730,Alimento
Orijen Fit & Trim Cat,orijen-fit-y-trim-cat,5.4 kg,99990,gato,adulto,Orijen,FALSE,MANADA-00731,Alimento
Salvaje Adulto con Pollo,salvaje-adulto-con-pollo,15 kg,39990,perro,adulto,Salvaje,FALSE,MANADA-00732,Alimento
Salvaje Adulto con Salmón,salvaje-adulto-con-salmon,15 kg,39990,perro,adulto,Salvaje,FALSE,MANADA-00733,Alimento
Salvaje Cachorro con Pollo,salvaje-cachorro-con-pollo,15 kg,39990,perro,cachorro,Salvaje,FALSE,MANADA-00734,Alimento
Salvaje Base Perro Adulto Pollo y Verduras,salvaje-base-perro-adulto-pollo-y-verduras,1.2 kg,5490,perro,adulto,Salvaje,FALSE,MANADA-00735,Alimento
Salvaje Base Perro Adulto Hígado de Buey,salvaje-base-perro-adulto-higado-de-buey,1.2 kg,5490,perro,adulto,Salvaje,FALSE,MANADA-00736,Alimento
Salvaje Base Perro Adulto Pollo y Cerdo,salvaje-base-perro-adulto-pollo-y-cerdo,1.2 kg,5490,perro,adulto,Salvaje,FALSE,MANADA-00737,Alimento
Salvaje Cat Adult Esterilizado,salvaje-cat-adult-esterilizado,1.5 kg,7990,gato,adulto,Salvaje,FALSE,MANADA-00738,Alimento
Salvaje Cat Adult Esterilizado,salvaje-cat-adult-esterilizado,10 kg,41990,gato,adulto,Salvaje,FALSE,MANADA-00739,Alimento
Salvaje Cat Adult Pollo,salvaje-cat-adult-pollo,1.5 kg,7990,gato,adulto,Salvaje,FALSE,MANADA-00740,Alimento
Salvaje Cat Adult Pollo,salvaje-cat-adult-pollo,10 kg,41990,gato,adulto,Salvaje,FALSE,MANADA-00741,Alimento
Salvaje Cat Kitten Pollo,salvaje-cat-kitten-pollo,1.5 kg,7990,gato,cachorro,Salvaje,FALSE,MANADA-00742,Alimento
Salvaje Cat Senior Salmon,salvaje-cat-senior-salmon,1.5 kg,7990,gato,senior,Salvaje,FALSE,MANADA-00743,Alimento
Salvaje Original Gato Adulto Paté Salmón,salvaje-original-gato-adulto-pate-salmon,400 g,2990,gato,adulto,Salvaje,FALSE,MANADA-00744,Alimento
Salvaje Original Gato Adulto Paté Atún,salvaje-original-gato-adulto-pate-atun,400 g,2990,gato,adulto,Salvaje,FALSE,MANADA-00745,Alimento
Salvaje Original Gato Adulto Paté Pollo,salvaje-original-gato-adulto-pate-pollo,400 g,2990,gato,adulto,Salvaje,FALSE,MANADA-00746,Alimento
Salvaje Original Gato Adulto Paté Hígado de Buey,salvaje-original-gato-adulto-pate-higado-de-buey,400 g,2990,gato,adulto,Salvaje,FALSE,MANADA-00747,Alimento
